Timestamp                       Thread     Type        Activity             PID    TTL  
2025-12-05 14:40:08.322349-0300 0x1367a68  Default     0x0                  3351   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600000668900] activating connection: mach=true listener=false peer=false name=com.apple.fonts
2025-12-05 14:40:08.327392-0300 0x1367a68  Default     0x0                  3351   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x60000056c0f0] activating connection: mach=true listener=false peer=false name=com.apple.distributed_notifications@Uv3
2025-12-05 14:40:08.352005-0300 0x1367a68  Activity    0x100d711            3351   0    xetex: (CoreFoundation) Loading Preferences From User CFPrefsD
2025-12-05 14:47:03.104614-0300 0x1369904  Activity    0x1010970            3695   0    xetex: (libsystem_info.dylib) Retrieve User by ID
2025-12-05 14:47:03.105106-0300 0x1369904  Default     0x0                  3695   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x6000011280f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-12-05 14:47:03.105131-0300 0x136990b  Default     0x0                  3695   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x6000011200f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.agent
2025-12-05 14:47:03.106292-0300 0x1369904  Default     0x0                  3695   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600001224b00] activating connection: mach=true listener=false peer=false name=com.apple.fonts
2025-12-05 14:47:03.111922-0300 0x1369904  Default     0x0                  3695   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x6000011282d0] activating connection: mach=true listener=false peer=false name=com.apple.distributed_notifications@Uv3
2025-12-05 14:47:03.136827-0300 0x1369904  Activity    0x1010971            3695   0    xetex: (CoreFoundation) Loading Preferences From User CFPrefsD
2025-12-05 14:47:59.919339-0300 0x1369ed0  Activity    0x1011280            3805   0    xetex: (libsystem_info.dylib) Retrieve User by ID
2025-12-05 14:47:59.919809-0300 0x1369ed0  Default     0x0                  3805   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600002dac0f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-12-05 14:47:59.919840-0300 0x136a003  Default     0x0                  3805   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600002da80f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.agent
2025-12-05 14:47:59.921631-0300 0x1369ed0  Default     0x0                  3805   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600002ea0600] activating connection: mach=true listener=false peer=false name=com.apple.fonts
2025-12-05 14:47:59.926609-0300 0x1369ed0  Default     0x0                  3805   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600002da81e0] activating connection: mach=true listener=false peer=false name=com.apple.distributed_notifications@Uv3
2025-12-05 14:47:59.952797-0300 0x1369ed0  Activity    0x1011281            3805   0    xetex: (CoreFoundation) Loading Preferences From User CFPrefsD
2025-12-05 14:48:17.934335-0300 0x136a383  Activity    0x1011620            3986   0    xetex: (libsystem_info.dylib) Retrieve User by ID
2025-12-05 14:48:17.934846-0300 0x136a383  Default     0x0                  3986   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600000d482d0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-12-05 14:48:17.934872-0300 0x136a44a  Default     0x0                  3986   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600000d44000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.agent
2025-12-05 14:48:17.936054-0300 0x136a383  Default     0x0                  3986   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600000e4c600] activating connection: mach=true listener=false peer=false name=com.apple.fonts
2025-12-05 14:48:17.937670-0300 0x136a383  Default     0x0                  3986   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600000d441e0] activating connection: mach=true listener=false peer=false name=com.apple.distributed_notifications@Uv3
2025-12-05 14:48:17.959802-0300 0x136a383  Activity    0x1011621            3986   0    xetex: (CoreFoundation) Loading Preferences From User CFPrefsD
